,DCS1.10HFC30CT011,DCS1.10HFC30CT012,DCS1.10HFC30CP011,DCS1.10HFC30CP012,DCS1.10HFE30CP001,DCS1.10HFC30CP001,DCS1.SELFNP
2020/5/31 17:03,80.472054,82.288406,2.387585,2.647404,4.545868,1.359054,-126.714935
2020/5/31 17:03,80.479843,82.298569,2.410416,2.671036,4.581573,1.358823,-126.024574
2020/5/31 17:03,80.487625,82.308723,2.433247,2.694668,4.617279,1.358593,-125.334221
2020/5/31 17:03,80.495415,82.318886,2.456078,2.7183,4.652985,1.358362,-122.98716
2020/5/31 17:03,80.503197,82.329048,2.478909,2.741932,4.68869,1.358132,-120.640099
2020/5/31 17:03,80.510979,82.339203,2.50174,2.765564,4.724396,1.357901,-118.293037
2020/5/31 17:03,80.518768,82.349365,2.533516,2.796806,4.760101,1.357671,-115.945976
2020/5/31 17:03,80.52655,82.358238,2.565292,2.828049,4.788712,1.35744,-113.247101
2020/5/31 17:03,80.53434,82.367111,2.597068,2.859291,4.817322,1.35721,-110.548225
2020/5/31 17:03,80.542122,82.375984,2.628845,2.890533,4.845932,1.356979,-107.84935
2020/5/31 17:03,80.549904,82.384857,2.638814,2.897552,4.874542,1.356749,-105.150475
2020/5/31 17:03,80.557693,82.393738,2.648783,2.904571,4.903152,1.356518,-102.830009
2020/5/31 17:03,80.565475,82.402611,2.658752,2.91159,4.931763,1.356288,-100.509544
2020/5/31 17:03,80.573257,82.411484,2.668721,2.918609,4.926819,1.356057,-97.999107
2020/5/31 17:03,80.581047,82.420357,2.67869,2.925628,4.921875,1.355827,-95.488663
2020/5/31 17:03,80.588829,82.42923,2.68866,2.932647,4.916931,1.355596,-92.978226
2020/5/31 17:03,80.596619,82.438103,2.681183,2.939666,4.911987,1.355366,-91.014679
2020/5/31 17:03,80.604401,82.446976,2.673706,2.932546,4.907043,1.355135,-89.051125
2020/5/31 17:03,80.612183,82.455849,2.666229,2.925425,4.903791,1.354905,-87.087578
2020/5/31 17:03,80.619972,82.464722,2.658752,2.918304,4.900538,1.354674,-86.183914
2020/5/31 17:03,80.627754,82.473602,2.651275,2.911184,4.897286,1.354444,-81.351044
2020/5/31 17:03,80.635544,82.482475,2.643798,2.904063,4.894033,1.354213,-79.190315
2020/5/31 17:03,80.643326,82.491348,2.636322,2.896942,4.89078,1.353983,-78.703644
2020/5/31 17:03,80.651108,82.500221,2.635025,2.896942,4.887528,1.353752,-79.769493
2020/5/31 17:03,80.658897,82.509094,2.633728,2.896942,4.884275,1.353522,-80.835342
2020/5/31 17:03,80.666679,82.517967,2.632431,2.896942,4.881023,1.353291,-80.825302
2020/5/31 17:03,80.674461,82.52684,2.631134,2.896942,4.87777,1.353061,-80.815254
2020/5/31 17:03,80.682251,82.535713,2.629837,2.896942,4.874517,1.35283,-81.275421
2020/5/31 17:03,80.690033,82.544586,2.62854,2.896942,4.871265,1.3526,-79.475456
2020/5/31 17:03,80.697823,82.553459,2.627243,2.896942,4.868012,1.352369,-77.675491
2020/5/31 17:03,80.705605,82.56234,2.625946,2.896942,4.86476,1.352139,-78.394386
2020/5/31 17:03,80.713387,82.571213,2.624649,2.896942,4.861507,1.351908,-79.113281
2020/5/31 17:03,80.721176,82.580086,2.623352,2.896942,4.858255,1.351678,-79.832176
2020/5/31 17:03,80.728958,82.588959,2.622055,2.896942,4.855002,1.351447,-81.373962
2020/5/31 17:03,80.736748,82.597832,2.620758,2.896942,4.851749,1.351217,-82.915741
2020/5/31 17:03,80.74453,82.606705,2.619461,2.896942,4.848497,1.350986,-83.822151
2020/5/31 17:03,80.752312,82.615578,2.618164,2.882599,4.845244,1.350756,-84.728561
2020/5/31 17:03,80.760101,82.624451,2.6041,2.868255,4.816209,1.350525,-85.634964
2020/5/31 17:03,80.767883,82.633324,2.590037,2.853912,4.787174,1.350295,-86.541374
2020/5/31 17:03,80.775665,82.642204,2.575974,2.839569,4.758139,1.350064,-85.675751
2020/5/31 17:03,80.783455,82.651077,2.56191,2.825226,4.729104,1.349834,-84.810135
2020/5/31 17:03,80.791237,82.65995,2.547847,2.810882,4.700068,1.349603,-83.944511
2020/5/31 17:03,80.799026,82.668823,2.533783,2.796539,4.671033,1.349373,-87.267113
2020/5/31 17:03,80.806808,82.677696,2.490257,2.746948,4.641998,1.349142,-90.589714
2020/5/31 17:03,80.81459,82.686569,2.446732,2.697357,4.568069,1.348912,-93.912315
2020/5/31 17:03,80.82238,82.695442,2.403206,2.647766,4.494141,1.348681,-97.234917
2020/5/31 17:03,80.830162,82.704315,2.35968,2.598175,4.420212,1.348451,-101.984344
2020/5/31 17:03,80.837952,82.713188,2.316154,2.548584,4.346283,1.34822,-106.733772
2020/5/31 17:03,80.845734,82.722069,2.272629,2.498992,4.272354,1.34799,-111.4832
2020/5/31 17:03,80.853516,82.730942,2.229103,2.449401,4.198425,1.347759,-114.758461
2020/5/31 17:03,80.861305,82.739815,2.185577,2.43048,4.17351,1.347529,-118.03373
2020/5/31 17:03,80.869087,82.748688,2.169556,2.41156,4.148594,1.347298,-121.30899
2020/5/31 17:03,80.876877,82.757561,2.153534,2.392639,4.123679,1.347068,-127.479286
2020/5/31 17:03,80.884659,82.766434,2.137512,2.373718,4.098763,1.346837,-131.768188
2020/5/31 17:03,80.892441,82.775307,2.12149,2.354797,4.073848,1.346607,-133.435822
2020/5/31 17:03,80.90023,82.78418,2.105469,2.335876,4.048933,1.346376,-135.10347
2020/5/31 17:04,80.908012,82.793053,2.089447,2.316956,4.024017,1.346146,-134.580719
2020/5/31 17:04,80.915794,82.801933,2.104044,2.33452,4.050568,1.345915,-134.786407
2020/5/31 17:04,80.923584,82.810806,2.118642,2.352085,4.077118,1.345685,-134.992111
2020/5/31 17:04,80.931366,82.819679,2.13324,2.369649,4.103668,1.345454,-136.910156
2020/5/31 17:04,80.939156,82.828552,2.147837,2.387214,4.130219,1.345224,-138.828217
2020/5/31 17:04,80.946938,82.837425,2.162435,2.404778,4.156769,1.344993,-140.231339
2020/5/31 17:04,80.95472,82.846298,2.177032,2.422343,4.183319,1.344763,-141.63446
2020/5/31 17:04,80.962509,82.855171,2.19163,2.439908,4.209869,1.344532,-141.600021
2020/5/31 17:04,80.970291,82.864044,2.206227,2.457472,4.23642,1.344302,-142.828445
2020/5/31 17:04,80.978081,82.872917,2.220825,2.475037,4.26297,1.344071,-145.664642
2020/5/31 17:04,80.985863,82.88179,2.235511,2.491325,4.279907,1.343841,-146.582977
2020/5/31 17:04,80.993645,82.890671,2.250198,2.507614,4.296844,1.34361,-145.73024
2020/5/31 17:04,81.001434,82.899544,2.264885,2.523903,4.313781,1.34338,-144.877502
2020/5/31 17:04,81.009216,82.908417,2.279572,2.540192,4.330719,1.343149,-141.365158
2020/5/31 17:04,81.016998,82.91729,2.28331,2.544108,4.347655,1.342919,-137.852814
2020/5/31 17:04,81.024788,82.926163,2.287048,2.548024,4.364593,1.342688,-131.143112
2020/5/31 17:04,81.03257,82.935036,2.290787,2.551941,4.379699,1.342458,-124.433403
2020/5/31 17:04,81.040359,82.943909,2.294525,2.555857,4.394805,1.342227,-119.5037
2020/5/31 17:04,81.048141,82.952782,2.298264,2.559774,4.409912,1.341997,-117.266663
2020/5/31 17:04,81.055923,82.961655,2.302002,2.56369,4.425018,1.341766,-116.351387
2020/5/31 17:04,81.063713,82.970535,2.313084,2.575618,4.440125,1.341536,-118.250854
2020/5/31 17:04,81.071495,82.979408,2.324165,2.587545,4.455231,1.341305,-116.489235
2020/5/31 17:04,81.079285,82.988281,2.335247,2.599472,4.469193,1.341075,-117.555595
2020/5/31 17:04,81.087067,82.997154,2.346328,2.611399,4.483154,1.340844,-118.621956
2020/5/31 17:04,81.094849,83.006027,2.35741,2.623327,4.497116,1.340614,-115.208511
2020/5/31 17:04,81.102638,83.0149,2.368492,2.635254,4.511078,1.340383,-111.795067
2020/5/31 17:04,81.11042,83.023773,2.379573,2.654168,4.52504,1.340153,-111.131317
2020/5/31 17:04,81.118202,83.032646,2.390655,2.673083,4.539001,1.339922,-110.467567
2020/5/31 17:04,81.125992,83.041519,2.413513,2.691998,4.568625,1.339692,-109.803818
2020/5/31 17:04,81.133774,83.0504,2.43637,2.710912,4.598249,1.339461,-109.386635
2020/5/31 17:04,81.141563,83.059273,2.459228,2.729827,4.627873,1.339231,-107.822777
2020/5/31 17:04,81.149345,83.068146,2.482086,2.748741,4.657496,1.339,-106.258919
2020/5/31 17:04,81.157127,83.077019,2.504943,2.767656,4.68712,1.33877,-102.644913
2020/5/31 17:04,81.164917,83.085892,2.5223,2.78657,4.716744,1.338539,-101.652405
2020/5/31 17:04,81.172699,83.094765,2.539657,2.805485,4.746368,1.338309,-99.072144
2020/5/31 17:04,81.180489,83.103638,2.557014,2.824399,4.775992,1.338078,-96.491882
2020/5/31 17:04,81.188271,83.112511,2.574371,2.843314,4.805615,1.337848,-95.092041
2020/5/31 17:04,81.196053,83.121384,2.591728,2.862228,4.835239,1.337617,-93.692207
2020/5/31 17:04,81.203842,83.130264,2.609085,2.881143,4.864863,1.337387,-92.292366
2020/5/31 17:04,81.211624,83.139137,2.626442,2.900058,4.894487,1.337156,-93.668404
2020/5/31 17:04,81.219406,83.14801,2.643799,2.918972,4.92411,1.336926,-95.044434
2020/5/31 17:04,81.227196,83.156883,2.661156,2.937886,4.953734,1.336695,-96.420471
2020/5/31 17:04,81.234978,83.165756,2.678513,2.956801,4.98223,1.336465,-96.978119
2020/5/31 17:04,81.242767,83.174629,2.695869,2.975716,5.010726,1.336234,-97.535759
2020/5/31 17:04,81.250549,83.183502,2.713226,2.99463,5.039222,1.336004,-97.124092
2020/5/31 17:04,81.258331,83.192375,2.739128,3.013545,5.067718,1.335773,-98.464027
2020/5/31 17:04,81.266121,83.201248,2.76503,3.032459,5.096214,1.335543,-97.99408
2020/5/31 17:04,81.273903,83.210121,2.790932,3.051374,5.12471,1.335312,-97.524139
2020/5/31 17:04,81.281693,83.219002,2.816833,3.070288,5.153206,1.335082,-98.368484
2020/5/31 17:04,81.289474,83.227875,2.813896,3.089203,5.181702,1.334851,-95.872429
2020/5/31 17:04,81.297256,83.236748,2.810959,3.084015,5.172432,1.334621,-93.376373
2020/5/31 17:04,81.305046,83.245621,2.808022,3.078827,5.163162,1.33439,-90.880318
2020/5/31 17:04,81.312828,83.254494,2.805084,3.073639,5.153893,1.33416,-88.384262
2020/5/31 17:04,81.32061,83.263367,2.802147,3.068451,5.144623,1.333929,-86.335678
2020/5/31 17:04,81.3284,83.27224,2.79921,3.063263,5.135353,1.333699,-84.287086
2020/5/31 17:04,81.336182,83.281113,2.796272,3.058075,5.126083,1.333468,-83.264526
2020/5/31 17:04,81.343971,83.289986,2.793335,3.052887,5.116814,1.333238,-82.241966
2020/5/31 17:04,81.351753,83.298866,2.775662,3.032981,5.107544,1.333007,-81.219406
2020/5/31 17:04,81.359535,83.307739,2.75799,3.013075,5.079703,1.332777,-81.061668
2020/5/31 17:04,81.367325,83.316612,2.740318,2.99317,5.051863,1.332546,-79.048592
2020/5/31 17:05,81.375107,83.325485,2.722645,2.973264,5.024023,1.332316,-80.810806
2020/5/31 17:05,81.382896,83.334358,2.704973,2.953358,4.996182,1.332085,-84.804192
2020/5/31 17:05,81.390678,83.343231,2.6873,2.933452,4.968342,1.331855,-88.797585
2020/5/31 17:05,81.39846,83.352104,2.669628,2.913547,4.940501,1.331624,-92.79097
2020/5/31 17:05,81.40625,83.360977,2.651955,2.893641,4.912661,1.331394,-96.03186
2020/5/31 17:05,81.414032,83.36985,2.634283,2.873735,4.88482,1.331163,-99.272743
2020/5/31 17:05,81.421814,83.378731,2.616611,2.853829,4.85698,1.330933,-105.329033
2020/5/31 17:05,81.429604,83.387604,2.598938,2.833923,4.82914,1.330702,-110.171967
2020/5/31 17:05,81.437386,83.396477,2.598582,2.83314,4.801299,1.330472,-115.014908
2020/5/31 17:05,81.445175,83.40535,2.598226,2.832357,4.801496,1.330241,-116.736618
2020/5/31 17:05,81.452957,83.414223,2.59787,2.831573,4.801692,1.330011,-118.458321
2020/5/31 17:05,81.454277,83.423096,2.597514,2.83079,4.801888,1.32978,-118.182442
2020/5/31 17:05,81.455597,83.431969,2.597158,2.830007,4.802084,1.32955,-119.15683
2020/5/31 17:05,81.456917,83.440842,2.596802,2.829224,4.80228,1.329319,-120.131218
2020/5/31 17:05,81.458237,83.449715,2.596446,2.82844,4.802476,1.329089,-119.607025
2020/5/31 17:05,81.459557,83.458595,2.59609,2.827657,4.802673,1.328858,-119.082832
2020/5/31 17:05,81.460876,83.467468,2.595734,2.826874,4.802869,1.328628,-118.55864
2020/5/31 17:05,81.462196,83.476341,2.595378,2.826091,4.803065,1.328397,-117.572868
2020/5/31 17:05,81.463516,83.485214,2.595021,2.825307,4.803262,1.328167,-116.58709
2020/5/31 17:05,81.464836,83.494087,2.594666,2.824524,4.803458,1.327936,-115.601318
2020/5/31 17:05,81.466156,83.50296,2.59431,2.823741,4.803654,1.327706,-111.670502
2020/5/31 17:05,81.467476,83.511833,2.593953,2.822957,4.80385,1.327475,-107.739677
2020/5/31 17:05,81.468796,83.520706,2.593597,2.822174,4.804047,1.327245,-107.455795
2020/5/31 17:05,81.470116,83.529579,2.582204,2.80957,4.788744,1.327014,-108.928665
2020/5/31 17:05,81.471436,83.53846,2.570811,2.796967,4.773442,1.326784,-111.847626
2020/5/31 17:05,81.472755,83.547333,2.559418,2.784363,4.75814,1.326553,-112.610062
2020/5/31 17:05,81.474075,83.556206,2.548024,2.771759,4.742837,1.326323,-113.372505
2020/5/31 17:05,81.475395,83.565079,2.536631,2.759155,4.727535,1.326092,-117.112579
2020/5/31 17:05,81.476715,83.573952,2.525238,2.757706,4.712232,1.325862,-120.852654
2020/5/31 17:05,81.478035,83.582825,2.525523,2.756256,4.69693,1.325631,-125.717484
2020/5/31 17:05,81.479355,83.591698,2.525808,2.754807,4.700294,1.325401,-127.549149
2020/5/31 17:05,81.480675,83.600571,2.526093,2.753357,4.703659,1.32517,-128.173264
2020/5/31 17:05,81.481995,83.609444,2.526377,2.751907,4.707024,1.32494,-128.797379
2020/5/31 17:05,81.483315,83.618317,2.526662,2.750458,4.710388,1.324709,-131.368149
2020/5/31 17:05,81.484634,83.627197,2.526947,2.749008,4.713753,1.324479,-132.410355
2020/5/31 17:05,81.485962,83.63607,2.527232,2.747559,4.717117,1.324248,-133.452545
2020/5/31 17:05,81.487282,83.644943,2.527516,2.746109,4.720482,1.324018,-134.494751
2020/5/31 17:05,81.488602,83.653816,2.527801,2.744659,4.723846,1.323787,-137.995117
2020/5/31 17:05,81.489922,83.662689,2.528086,2.74321,4.727211,1.323557,-140.065796
2020/5/31 17:05,81.491241,83.671562,2.528371,2.74176,4.730576,1.323326,-139.462952
2020/5/31 17:05,81.492561,83.680435,2.528656,2.740311,4.73394,1.323096,-138.860107
2020/5/31 17:05,81.493881,83.689308,2.52894,2.738861,4.737305,1.322865,-137.149567
2020/5/31 17:05,81.495201,83.698181,2.529225,2.746338,4.740669,1.322635,-135.439041
2020/5/31 17:05,81.496521,83.707062,2.52951,2.753815,4.744034,1.322404,-135.882477
2020/5/31 17:05,81.497841,83.715935,2.535741,2.761292,4.747398,1.322174,-136.325912
2020/5/31 17:05,81.499161,83.724808,2.541971,2.768768,4.750763,1.321943,-137.706528
2020/5/31 17:05,81.500481,83.733681,2.548202,2.776245,4.754128,1.321713,-141.342133
2020/5/31 17:05,81.501801,83.742554,2.554433,2.783722,4.757492,1.321482,-141.340546
2020/5/31 17:05,81.50312,83.751427,2.560663,2.791199,4.760857,1.321252,-141.338959
2020/5/31 17:05,81.50444,83.7603,2.566894,2.798676,4.764221,1.321021,-142.595398
2020/5/31 17:05,81.50576,83.769173,2.573125,2.806152,4.773623,1.320791,-143.851822
2020/5/31 17:05,81.50708,83.778046,2.579355,2.813629,4.783025,1.32056,-142.736389
2020/5/31 17:05,81.5084,83.786926,2.585586,2.821106,4.792427,1.32033,-141.620956
2020/5/31 17:05,81.50972,83.795799,2.591817,2.828583,4.801828,1.320099,-139.604752
2020/5/31 17:05,81.51104,83.804672,2.598047,2.83606,4.81123,1.319869,-137.588547
2020/5/31 17:05,81.51236,83.813545,2.604278,2.843536,4.820632,1.319638,-137.231003
2020/5/31 17:05,81.51368,83.822418,2.606872,2.849091,4.830033,1.319408,-136.873459
2020/5/31 17:05,81.514999,83.831291,2.609466,2.854645,4.839435,1.319177,-136.5159
2020/5/31 17:05,81.516319,83.840164,2.61206,2.860199,4.848837,1.318947,-136.158356
2020/5/31 17:05,81.517639,83.849037,2.614654,2.865753,4.858239,1.318716,-135.800812
2020/5/31 17:06,81.518959,83.85791,2.617248,2.871307,4.86764,1.318486,-131.0112
2020/5/31 17:06,81.520279,83.866791,2.619843,2.858222,4.877042,1.318255,-128.459961
2020/5/31 17:06,81.521599,83.875664,2.622437,2.845138,4.886444,1.318025,-127.414398
2020/5/31 17:06,81.522919,83.884537,2.608373,2.832054,4.865452,1.317794,-123.745461
2020/5/31 17:06,81.524239,83.89341,2.59431,2.81897,4.84446,1.317564,-122.677605
2020/5/31 17:06,81.525558,83.902283,2.580246,2.81403,4.823469,1.317333,-121.609749
2020/5/31 17:06,81.526878,83.911156,2.566182,2.80909,4.802477,1.317103,-119.191032
2020/5/31 17:06,81.528198,83.920029,2.552119,2.804149,4.781486,1.316872,-118.800674
2020/5/31 17:06,81.529518,83.928902,2.538055,2.799209,4.760494,1.316642,-120.6745
2020/5/31 17:06,81.530838,83.937775,2.537598,2.794269,4.739502,1.316411,-124.019501
2020/5/31 17:06,81.532158,83.946648,2.53714,2.789329,4.739502,1.316181,-125.875504
2020/5/31 17:06,81.533478,83.955528,2.536682,2.784389,4.739502,1.31595,-125.36734
2020/5/31 17:06,81.534798,83.964401,2.536224,2.779449,4.739502,1.31572,-124.859177
2020/5/31 17:06,81.536118,83.973274,2.535767,2.775889,4.739502,1.315489,-124.351006
2020/5/31 17:06,81.537437,83.982147,2.535309,2.772329,4.739502,1.315259,-123.842842
2020/5/31 17:06,81.538757,83.99102,2.534851,2.768768,4.739502,1.315028,-124.948624
2020/5/31 17:06,81.540077,83.999893,2.529757,2.760223,4.728859,1.314798,-126.054405
2020/5/31 17:06,81.541397,84.008766,2.524663,2.751678,4.718216,1.314567,-125.437317
2020/5/31 17:06,81.542717,84.017639,2.519569,2.743133,4.707573,1.314337,-124.820236
2020/5/31 17:06,81.544037,84.026512,2.514475,2.734588,4.69693,1.314106,-124.203148
2020/5/31 17:06,81.545357,84.035393,2.50938,2.726043,4.686287,1.313876,-122.459793
2020/5/31 17:06,81.546677,84.044266,2.504286,2.717499,4.675644,1.313645,-121.984047
2020/5/31 17:06,81.547997,84.053139,2.499192,2.708953,4.665001,1.313415,-122.948212
2020/5/31 17:06,81.549324,84.062012,2.494098,2.700408,4.654358,1.313184,-121.470184
2020/5/31 17:06,81.550644,84.070885,2.489004,2.691864,4.643715,1.312954,-118.355377
2020/5/31 17:06,81.551964,84.079758,2.48391,2.691982,4.633072,1.312723,-113.271927
2020/5/31 17:06,81.553284,84.088631,2.478816,2.692101,4.622429,1.312493,-109.702095
